127.0.0.1 - - [18/Mar/2018:22:45:23 +0330] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/ HTTP/1.1" 200 25364
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/nivo-lightbox.css HTTP/1.1" 200 5702
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/font-awesome.min.css HTTP/1.1" 200 23781
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/bootstrap-rtl.min.css HTTP/1.1" 200 24603
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/et-line-font.css HTTP/1.1" 200 7120
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/animate.min.css HTTP/1.1" 200 46575
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/jquery.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/nivo_themes/default/default.css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/css/style.css HTTP/1.1" 200 16136
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/js/app.js HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/imagesloaded.min.js HTTP/1.1" 200 3495
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/isotope.js HTTP/1.1" 200 37694
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/nivo-lightbox.min.js HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/smoothscroll.js HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/wow.min.js HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/custom.js HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/js_lib/jquery.backstretch.min.js HTTP/1.1" 200 4235
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/images/about-img.jpg HTTP/1.1" 200 146073
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/images/home-bg-slideshow1.jpg HTTP/1.1" 200 101884
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/team3.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/team2.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/team1.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/portfolio-img2.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/team4.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/portfolio-img1.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/images/portfolio-img3.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:45:30 +0330] "GET /homeServiceUI/static/images/contact-bg.jpg HTTP/1.1" 200 172914
